sample_id,scene_id,split,scene_class,patch_type,has_oil,oil_pixels,oil_fraction,vv_mean_db,vh_mean_db,channels,shape
S1A_IW_GRDH_1SDV_2026_001_patch_00,S1A_IW_GRDH_1SDV_2026_001,test,oil_event,oil,True,5974,0.0912,-18.91,-26.03,2,2x256x256
S1A_IW_GRDH_1SDV_2026_001_patch_01,S1A_IW_GRDH_1SDV_2026_001,test,oil_event,oil,True,1657,0.0253,-18.27,-25.71,2,2x256x256
S1A_IW_GRDH_1SDV_2026_001_patch_02,S1A_IW_GRDH_1SDV_2026_001,test,oil_event,oil,True,1827,0.0279,-18.27,-25.68,2,2x256x256
S1A_IW_GRDH_1SDV_2026_001_patch_03,S1A_IW_GRDH_1SDV_2026_001,test,oil_event,oil,True,1199,0.0183,-18.19,-25.63,2,2x256x256
S1A_IW_GRDH_1SDV_2026_002_patch_00,S1A_IW_GRDH_1SDV_2026_002,train,oil_event,oil,True,3178,0.0485,-18.58,-25.79,2,2x256x256
S1A_IW_GRDH_1SDV_2026_002_patch_01,S1A_IW_GRDH_1SDV_2026_002,train,oil_event,oil,True,1842,0.0281,-18.31,-25.66,2,2x256x256
S1A_IW_GRDH_1SDV_2026_002_patch_02,S1A_IW_GRDH_1SDV_2026_002,train,oil_event,oil,True,4847,0.074,-18.88,-25.95,2,2x256x256
S1A_IW_GRDH_1SDV_2026_002_patch_03,S1A_IW_GRDH_1SDV_2026_002,train,oil_event,oil,True,2406,0.0367,-18.36,-25.73,2,2x256x256
S1A_IW_GRDH_1SDV_2026_003_patch_00,S1A_IW_GRDH_1SDV_2026_003,train,oil_event,oil,True,727,0.0111,-18.14,-25.56,2,2x256x256
S1A_IW_GRDH_1SDV_2026_003_patch_01,S1A_IW_GRDH_1SDV_2026_003,train,oil_event,oil,True,5588,0.0853,-18.78,-26.06,2,2x256x256
S1A_IW_GRDH_1SDV_2026_003_patch_02,S1A_IW_GRDH_1SDV_2026_003,train,oil_event,oil,True,1774,0.0271,-18.31,-25.65,2,2x256x256
